Account Number,Account Name,Cash Account Number,Cash Account Name,Reporting Currency Name,Local Currency Code,Local Currency Name,Location Code,Location Name,Cash Reporting Date,Settle / Pay Date,Tax Code,Transaction Type Code,Transaction Type,Main Transaction Code,Sub Transaction Code,Detailed Transaction Type Name,Transaction Description 1,Transaction Description 3,Transaction Description 4,Transaction Description 5,Actual Settle Date,Alternate Delivery Date,Record Date,Cash Post Date,Cash Value Date,Shares / Par,Opening Balance Local,Transaction Amount Local,Closing Balance Local,Transaction Amount Reporting Equivalent,Begin Date,End Date,Report Run Date,Report Run Time,Current Factor,Previous Factor,Amortized Units,Event ID,Flat Tax %,Flat Tax Amount,Solidarity %,Solidarity Amount,Flat Tax Currency
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,AUD,AUSTRALIAN DOLLAR,11,BRU,2/28/25,,,,,,,,,,,,,,,,,,0,,0,,2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,EUR,EURO,10,BRU,2/28/25,,,,,,,,,,,,,,,,,,"6,312.58",,"6,312.58",,2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,GBP,POUND STERLING,10,BRU,2/28/25,,,,,,,,,,,,,,,,,,0,,0,,2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,B,BUY,BU,107,Purchase- Cash Equivalent (STF),PURCHASE              TRANS #:  27777885,TRADE DATE:  2025-02-28   SETTLE DATE: 2025-02-28,,,2/28/25,,,2/28/25,2/28/25,,"22,999,254.00","-1,188,047.73","23,125,254.78","-1,188,047.73",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 359681557369 CORTLAND CAPITAL MARKET SERVICES LL 7,DETAIL: /BNF/REF MB2 BNY CUST RRN ,,,,,,2/28/25,2/28/25,,"22,999,254.00","55,142.26","23,125,254.78","55,142.26",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 10714731 OWL ROCK CAPITAL AGENT 245 PARK AVE 41ST,DETAIL: REF BAKER TILLY ADVISORY GROUP LLC,,,,,,2/28/25,2/28/25,,"22,999,254.00","55,458.22","23,125,254.78","55,458.22",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,"ORD CUST: 359681652921 CHURCHILL AGENCY SERVICES, LLC 430 PA",DETAIL: 03,,,,,,2/28/25,2/28/25,,"22,999,254.00","1,763.63","23,125,254.78","1,763.63",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 50293315 ANTARES CAPITAL LP 500 WEST MONROE STREET,DETAIL: 61866333 REF:CFS BRANDS L 1.54BL 9/,,,,,,2/28/25,2/28/25,,"22,999,254.00","44,022.02","23,125,254.78","44,022.02",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 10714731 OWL ROCK CAPITAL AGENT 245 PARK AVE 41ST,DETAIL: /BNF/REF CREWLINE BNY CUST RRN ,,,,,,2/28/25,2/28/25,,"22,999,254.00","136,731.40","23,125,254.78","136,731.40",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 50293315 ANTARES CAPITAL LP 500 WEST MONROE STREET,DETAIL: 61867212 REF:FORMULATIONS PARENT ,,,,,,2/28/25,2/28/25,,"22,999,254.00","7,846.80","23,125,254.78","7,846.80",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 359681557369 CORTLAND CAPITAL MARKET SERVICES LL 7,DETAIL: /BNF/REF MB2 BNY CUST RRN,,,,,,2/28/25,2/28/25,,"22,999,254.00","4,008.38","23,125,254.78","4,008.38",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 359681739777 ALTER DOMUS (US) LLC 225 W. WASHINGTO,DETAIL: 54,,,,,,2/28/25,2/28/25,,"22,999,254.00",121.38,"23,125,254.78",121.38,2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 359681557369 CORTLAND CAPITAL MARKET SERVICES LL 7,DETAIL: /BNF/REF MB2 BNY CUST RRN,,,,,,2/28/25,2/28/25,,"22,999,254.00","5,228.61","23,125,254.78","5,228.61",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 359681739777 ALTER DOMUS (US) LLC 225 W. WASHINGTO,DETAIL: 5114,,,,,,2/28/25,2/28/25,,"22,999,254.00","173,761.80","23,125,254.78","173,761.80",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,"ORD CUST: 902696571 APOLLO ADMINISTRATIVE AGENCY LLC, ALTER",DETAIL: REF ADVARRA HOLDINGS INC BNY CUST RRN - CAP OF 25/02,,,,,,2/28/25,2/28/25,,"22,999,254.00","79,413.49","23,125,254.78","79,413.49",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 359681557369 CORTLAND CAPITAL MARKET SERVICES LL 7,DETAIL: /BNF/REF MB2 BNY CUST RRN - ,,,,,,2/28/25,2/28/25,,"22,999,254.00",723.82,"23,125,254.78",723.82,2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 1000113400435 MIDCAP FINCO INTERMEDIATE HOLDINGS L,,,,,,,2/28/25,2/28/25,,"22,999,254.00","164,355.89","23,125,254.78","164,355.89",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 50293315 ANTARES CAPITAL LP 500 WEST MONROE STREET,DETAIL: 61866332 REF:CFS BRANDS L 1.54BL 9/,,,,,,2/28/25,2/28/25,,"22,999,254.00","38,152.42","23,125,254.78","38,152.42",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 399250338 GOLUB CAPITAL MARKETS LLC 200 PARK AVE F,"DETAIL: RD1 ACCESSION RISK MANAGEMENT GROUP, INC (FKA RSC AC",,,,,,2/28/25,2/28/25,,"22,999,254.00","27,008.20","23,125,254.78","27,008.20",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,"ORD CUST: 153139000 CIRCANA GROUP, L.P. 900 WEST SHORE ROAD",DETAIL: AC NAME FUND 1 LP REF CIRCA,,,,,,2/28/25,2/28/25,,"22,999,254.00","57,160.17","23,125,254.78","57,160.17",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 610931312 ERGOTRON ACQUIS 1181 TRAP ROAD,DETAIL: /BNF/BNY CUST RRNREF: ERGOTRON AC,,,,,,2/28/25,2/28/25,,"22,999,254.00","88,374.39","23,125,254.78","88,374.39",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,"ORD CUST: 153139000 CIRCANA GROUP, L.P. 900 WEST SHORE ROAD",DETAIL: AC NAME  FUND 1 LP REF CIRCA,,,,,,2/28/25,2/28/25,,"22,999,254.00","92,087.80","23,125,254.78","92,087.80",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 359681739777 ALTER DOMUS (US) LLC 225 W. WASHINGTO,DETAIL: 10,,,,,,2/28/25,2/28/25,,"22,999,254.00",485.53,"23,125,254.78",485.53,2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,CD,CASH DEPOSIT,C,850,CR-MONEY TRANSFER CREDIT,ORD CUST: 399250338 GOLUB CAPITAL MARKETS LLC 200 PARK AVE F,"DETAIL: RD1 PPV INTERMEDIATE HOLDINGS, LLC(/28",,DETAIL: CUST RRN - CAP OF 25/02/28,,,,2/28/25,2/28/25,,"22,999,254.00","242,133.52","23,125,254.78","242,133.52",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,2/28/25,,IM,INTERNAL MOVEMENT,,,INTERNAL MOVEMENT - CASH ADJUSTMENT,PURCHASE              TRANS #: 27777885,TRADE DATE:  2025-02-28   SETTLE DATE: 2025-02-28,,,2/28/25,,,2/28/25,2/28/25,,"22,999,254.00","1,188,047.73","23,125,254.78","1,188,047.73",2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,,,,,,,,,,,,,,,,,,"8,035.44",,"8,035.00",,2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,11122255558,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,,,,,,,,,,,,,,,,,,454.97,,44,,2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,42112225776,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,,,,,,,,,,,,,,,,,,0,,0,,2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,
11431740,FUND1 LP,42112225776,Fund1 LP,UNITED STATES DOLLAR,USD,UNITED STATES DOLLAR,31,NYG,2/28/25,,,,,,,,,,,,,,,,,,0,,0,,2/28/25,2/28/25,3/3/25,1:30:12 AM EST,,,,,,,,,